name,source,sourcevalue,port,protocol,description
sgr-eas-prd-api,group_name,sgr-eas-prd-proxy,8085,tcp,Allow TCP 8085 from Proxy server
sgr-eas-prd-api,group_name,sgr-eas-prd-viewer-cache,8085,tcp,Allow TCP 8085 from Viewer Cache server


sgr-eas-prd-edm,cidr_ip,10.26.90.229/32,22,tcp,Allow SSH from VPN
sgr-eas-prd-edm,cidr_ip,10.26.88.169/32,20,tcp,Allow SSH from Ansible
sgr-eas-prd-edm,group_name,sgr-eas-prd-api,80,tcp,Allow HTTP from API server
sgr-eas-prd-edm,group_name,sgr-eas-prd-proxy,80,tcp,Allow HTTP from Proxy server
sgr-eas-prd-edm,group_name,sgr-eas-prd-import,80,tcp,Allow HTTP from Import server
sgr-eas-prd-edm,group_name,sgr-eas-prd-api,8080,tcp,Allow TCP 8080 from Viewer server
sgr-eas-prd-edm,group_name,sgr-eas-prd-proxy,8080,tcp,Allow TCP 8080 from API server
sgr-eas-prd-edm,group_name,sgr-eas-prd-import,443,tcp,Allow HTTPS from Viewer server
sgr-eas-prd-edm,group_name,sgr-eas-prd-import,443,tcp,Allow HTTPS from Import server
sgr-eas-prd-edm,group_name,sgr-eas-prd-api,7687,tcp,Allow TCP 7687 (neo4j) from API server
sgr-eas-prd-edm,group_name,sgr-eas-prd-login,7687,tcp,Allow TCP 7687 (neo4j) from Login server
sgr-eas-prd-edm,group_name,sgr-eas-prd-import,7687,tcp,Allow TCP 7687 (neo4j) from Import server
sgr-eas-prd-edm,group_name,sgr-eas-prd-viewer,7687,tcp,Allow TCP 7687 (neo4j) from Viewer server


sgr-eas-prd-login,cidr_ip,10.26.90.229/32,22,tcp,Allow SSH from VPN
sgr-eas-prd-login,cidr_ip,10.26.88.169/32,20,tcp,Allow SSH from Ansible
sgr-eas-prd-login,group_name,sgr-eas-prd-api,8080,tcp,Allow TCP 8080 from API server
sgr-eas-prd-login,group_name,sgr-eas-prd-viewer,8080,tcp,Allow TCP 8080 from Viewer server
sgr-eas-prd-login,group_name,sgr-eas-prd-editor,8080,tcp,Allow TCP 8080 from Editor server
sgr-eas-prd-login,group_name,sgr-eas-prd-edm,8080,tcp,Allow TCP 8080 from EDM server
sgr-eas-prd-login,group_name,sgr-eas-prd-import,8080,tcp,Allow TCP 8080 from Import server
sgr-eas-prd-login,group_name,sgr-eas-prd-proxy,8080,tcp,Allow TCP 8080 from Proxy server


sgr-eas-prd-kafka,cidr_ip,10.26.90.229/32,22,tcp,Allow SSH from VPN
sgr-eas-prd-kafka,cidr_ip,10.26.88.169/32,20,tcp,Allow SSH from Ansible
sgr-eas-prd-kafka,group_name,sgr-eas-prd-api,9092,tcp,Allow TCP 9092 from API server
sgr-eas-prd-kafka,group_name,sgr-eas-prd-viewer,9092,tcp,Allow TCP 9092 from Viewer server
sgr-eas-prd-kafka,group_name,sgr-eas-prd-login,9092,tcp,Allow TCP 9092 from Login server
sgr-eas-prd-kafka,group_name,sgr-eas-prd-edm,9092,tcp,Allow TCP 9092 from EDM server 


sgr-eas-prd-elk,cidr_ip,10.26.90.229/32,22,tcp,Allow SSH from VPN
sgr-eas-prd-elk,cidr_ip,10.26.88.169/32,20,tcp,Allow SSH from Ansible
sgr-eas-prd-elk,cidr_ip,10.26.90.229/32,80,tcp,Allow HTTP from VPN
sgr-eas-prd-elk,cidr_ip,10.26.90.229/32,5044,tcp,Allow TCP 5044 from VPN
sgr-eas-prd-elk,cidr_ip,10.26.90.229/32,5601,tcp,Allow TCP 5601 from VPN


sgr-eas-prd-viewer,cidr_ip,10.26.90.229/32,22,tcp,Allow SSH from VPN
sgr-eas-prd-viewer,cidr_ip,10.26.88.169/32,20,tcp,Allow SSH from Ansible
sgr-eas-prd-viewer,group_name,sgr-eas-prd-api,9085,tcp,Allow PPT Mgr access from API server
sgr-eas-prd-viewer,group_name,sgr-eas-prd-proxy,80,tcp,Allow HTTP from Proxy server
sgr-eas-prd-viewer,group_name,sgr-eas-prd-proxy,443,tcp,Allow HTTPS from Proxy server


sgr-eas-prd-proxy,cidr_ip,10.26.90.229/32,22,tcp,Allow SSH from VPN
sgr-eas-prd-proxy,cidr_ip,10.26.88.169/32,20,tcp,Allow SSH from Ansible


sgr-eas-prd-viewer-cache,cidr_ip,10.26.90.229/32,22,tcp,Allow SSH from VPN
sgr-eas-prd-viewer-cache,cidr_ip,10.26.88.169/32,20,tcp,Allow SSH from Ansible
sgr-eas-prd-viewer-cache,group_name,sgr-eas-prd-viewer,8080,tcp,Allow TCP 8080 from Viewer server
sgr-eas-prd-viewer-cache,group_name,10.26.88.169/32,8085,tcp,Allow TCP 8085 from Viewer server


sgr-eas-prd-editor,cidr_ip,10.26.90.229/32,22,tcp,Allow SSH from VPN
sgr-eas-prd-editor,cidr_ip,10.26.88.169/32,20,tcp,Allow SSH from Ansible
sgr-eas-prd-editor,group_name,sgr-eas-prd-edm,9092,tcp,Allow TCP 9092 from EDM server
sgr-eas-prd-editor,group_name,sgr-eas-prd-login,9092,tcp,Allow TCP 9092 from Login server
sgr-eas-prd-editor,group_name,sgr-eas-prd-api,9092,tcp,Allow TCP 9092 from API server
sgr-eas-prd-editor,group_name,sgr-eas-prd-viewer,9092,tcp,Allow TCP 9092 from Viewer server


sgr-eas-prd-nosql,cidr_ip,10.26.90.229/32,22,tcp,Allow SSH from VPN
sgr-eas-prd-nosql,cidr_ip,10.26.88.169/32,20,tcp,Allow SSH from Ansible
sgr-eas-prd-nosql,group_name,sgr-eas-prd-api,27017,tcp,Allow TCP 27017 from API server
sgr-eas-prd-nosql,group_name,sgr-eas-prd-kafka,27017,tcp,Allow TCP 27017 from Kafka server
